		NNPDF40_nnlo_as_01180_nonuc	NNPDF40_nnlo_as_01180_nonuc
		ndata	$\chi^2/ndata$
group	dataset		
NMC	NMCPD	121	0.9643046396312247
NMC	NMC	204	1.5218157879483751
SLAC	SLACP	33	0.9461694202672652
SLAC	SLACD	34	0.8889620054578434
BCDMS	BCDMSP	333	1.4514676193321578
BCDMS	BCDMSD	248	1.2294535946619678
CHORUS	CHORUSNUPb	416	1.2844420748690875
CHORUS	CHORUSNBPb	416	1.1058458599162355
NTVDMN	NTVNUDMNFe	39	0.33088207891254473
NTVDMN	NTVNBDMNFe	37	0.590189087912508
HERACOMB	HERACOMBNCEM	159	1.459026096693492
HERACOMB	HERACOMBNCEP460	204	1.1740265570901725
HERACOMB	HERACOMBNCEP575	254	0.993378360670764
HERACOMB	HERACOMBNCEP820	70	1.1497241244321985
HERACOMB	HERACOMBNCEP920	377	1.4043426998515853
HERACOMB	HERACOMBCCEM	42	1.2807250715064873
HERACOMB	HERACOMBCCEP	39	1.20501870556305
HERACOMB	HERACOMB_SIGMARED_C	37	2.200488089359461
HERACOMB	HERACOMB_SIGMARED_B	26	2.377265764182083
DYE886	DYE886R	15	1.1372082544401636
DYE886	DYE886P	89	1.1495593029475593
DYE605	DYE605	85	0.9039679336947053
DYE906	DYE906R	6	0.9460431220201695
CDF	CDFZRAP_NEW	28	1.336274097049373
D0	D0ZRAP_40	28	0.6992684078450347
D0	D0WMASY	9	2.435279239663556
ATLAS	ATLASWZRAP36PB	30	0.894741786474107
ATLAS	ATLASZHIGHMASS49FB	5	1.8933320464306562
ATLAS	ATLASLOMASSDY11EXT	6	0.957526742212259
ATLAS	ATLASWZRAP11CC	46	2.0058211303385405
ATLAS	ATLASWZRAP11CF	15	1.3132445540220061
ATLAS	ATLASDY2D8TEV	48	1.1539936888979867
ATLAS	ATLAS_DY_2D_8TEV_LOWMASS	60	1.2163533864806746
ATLAS	ATLAS_WZ_TOT_13TEV	3	0.912074354335402
ATLAS	ATLAS_WP_JET_8TEV_PT	15	1.0129504328903998
ATLAS	ATLAS_WM_JET_8TEV_PT	15	2.4316829808622002
ATLAS	ATLASZPT8TEVMDIST	44	1.0257876300678133
ATLAS	ATLASZPT8TEVYDIST	48	0.993029336143624
ATLAS	ATLASTTBARTOT7TEV	1	4.348032006864376
ATLAS	ATLASTTBARTOT8TEV	1	0.001456124069522009
ATLAS	ATLAS_TTBARTOT_13TEV_FULLLUMI	1	0.32547106883376214
ATLAS	ATLAS_TTB_DIFF_8TEV_LJ_TRAPNORM	4	3.799805947580163
ATLAS	ATLAS_TTB_DIFF_8TEV_LJ_TTRAPNORM	4	3.9679910780291294
ATLAS	ATLAS_TOPDIFF_DILEPT_8TEV_TTRAPNORM	5	1.4996155421890687
ATLAS	ATLAS_1JET_8TEV_R06_DEC	171	0.8564298169185908
ATLAS	ATLAS_2JET_7TEV_R06	90	2.7418370699411865
ATLAS	ATLASPHT15_SF	53	0.7692082063674478
ATLAS	ATLAS_SINGLETOP_TCH_R_7TEV	1	0.4647725523438298
ATLAS	ATLAS_SINGLETOP_TCH_R_13TEV	1	0.05471697902912975
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_T_RAP_NORM	3	0.8504540441778542
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_TBAR_RAP_NORM	3	0.05851237044042621
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_T_RAP_NORM	3	0.2562270576280431
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_TBAR_RAP_NORM	3	0.21214238222060863
CMS	CMSWEASY840PB	11	0.7962175080831835
CMS	CMSWMASY47FB	11	1.8217640208030426
CMS	CMSDY2D11	110	1.324300018786078
CMS	CMSWMU8TEV	22	1.4083182293710033
CMS	CMSZDIFF12	28	1.406210507288024
CMS	CMS_2JET_7TEV	54	1.8220490294800067
CMS	CMS_1JET_8TEV	185	9.633182316937548
CMS	CMSTTBARTOT7TEV	1	0.6775718571452636
CMS	CMSTTBARTOT8TEV	1	0.08355295294053357
CMS	CMSTTBARTOT13TEV	1	0.14493369613957324
CMS	CMSTOPDIFF8TEVTTRAPNORM	9	1.5236704063493753
CMS	CMSTTBARTOT5TEV	1	0.5003362788871409
CMS	CMS_TTBAR_2D_DIFF_MTT_TRAP_NORM	16	0.9510923894298955
CMS	CMS_TTB_DIFF_13TEV_2016_2L_TRAP	10	0.5394312318695721
CMS	CMS_TTB_DIFF_13TEV_2016_LJ_TRAP	11	0.6096344771651555
CMS	CMS_SINGLETOP_TCH_TOT_7TEV	1	0.8026727456620386
CMS	CMS_SINGLETOP_TCH_R_8TEV	1	0.1608186540239299
CMS	CMS_SINGLETOP_TCH_R_13TEV	1	0.35866164387347876
LHCb	LHCBZ940PB	9	2.1284110184495706
LHCb	LHCBZEE2FB_40	17	1.2976274622961854
LHCb	LHCBWZMU7TEV	29	2.8003861878192104
LHCb	LHCBWZMU8TEV	30	1.7622242217769706
LHCb	LHCB_Z_13TEV_DIMUON	16	1.0861837556489822
LHCb	LHCB_Z_13TEV_DIELECTRON	15	1.590174182168064
