		NNPDF40_nnlo_as_01180_1000	NNPDF40_nnlo_as_01180_1000
		ndata	$\chi^2/ndata$
group	dataset		
DEUTERON	NMCPD_dw_ite	121	0.8720597010339123
DEUTERON	SLACP_dwsh	33	0.8946575066277883
DEUTERON	SLACD_dw_ite	34	0.5943139603435239
DEUTERON	BCDMSP_dwsh	333	1.426458530201083
DEUTERON	BCDMSD_dw_ite	248	1.0176654074006162
DEUTERON	DYE886R_dw_ite	15	0.5319302053088434
DEUTERON	DYE906R_dw_ite	6	0.8674352110578575
NMC	NMC	204	1.526569495857109
NUCLEAR	CHORUSNUPb_dw_ite	416	0.9820883718555221
NUCLEAR	CHORUSNBPb_dw_ite	416	0.9033434101031633
NUCLEAR	NTVNUDMNFe_dw_ite	39	0.35064013057164317
NUCLEAR	NTVNBDMNFe_dw_ite	37	0.5785969516191592
NUCLEAR	DYE605_dw_ite	85	0.7877862787233477
HERACOMB	HERACOMBNCEM	159	1.4658756062836937
HERACOMB	HERACOMBNCEP460	204	1.1693748313596775
HERACOMB	HERACOMBNCEP575	254	0.9853440644091506
HERACOMB	HERACOMBNCEP820	70	1.154333476083738
HERACOMB	HERACOMBNCEP920	377	1.3716432560716025
HERACOMB	HERACOMBCCEM	42	1.2716012182761853
HERACOMB	HERACOMBCCEP	39	1.217402293701417
HERACOMB	HERACOMB_SIGMARED_C	37	2.225251384726365
HERACOMB	HERACOMB_SIGMARED_B	26	2.378499823081576
DYE886	DYE886P	89	1.1798175019614117
CDF	CDFZRAP_NEW	28	1.2468963934935073
D0	D0ZRAP_40	28	0.6418817913316668
D0	D0WMASY	9	1.9243815548660166
ATLAS	ATLASWZRAP36PB	30	0.8722826044245325
ATLAS	ATLASZHIGHMASS49FB	5	1.8659457698147448
ATLAS	ATLASLOMASSDY11EXT	6	0.9563729399713194
ATLAS	ATLASWZRAP11CC	46	1.8672307908836097
ATLAS	ATLASWZRAP11CF	15	1.2250838510739495
ATLAS	ATLASDY2D8TEV	48	1.1491850801380146
ATLAS	ATLAS_DY_2D_8TEV_LOWMASS	60	1.225388584537131
ATLAS	ATLAS_WZ_TOT_13TEV	3	0.7552506654455432
ATLAS	ATLAS_WP_JET_8TEV_PT	15	0.9613105872650038
ATLAS	ATLAS_WM_JET_8TEV_PT	15	2.370322696473387
ATLAS	ATLASZPT8TEVMDIST	44	1.0200228462018595
ATLAS	ATLASZPT8TEVYDIST	48	1.0504538384325934
ATLAS	ATLASTTBARTOT7TEV	1	5.219566451053513
ATLAS	ATLASTTBARTOT8TEV	1	0.021014257528851735
ATLAS	ATLAS_TTBARTOT_13TEV_FULLLUMI	1	0.5261702180222078
ATLAS	ATLAS_TTB_DIFF_8TEV_LJ_TRAPNORM	4	3.279945343900788
ATLAS	ATLAS_TTB_DIFF_8TEV_LJ_TTRAPNORM	4	3.7913929055428133
ATLAS	ATLAS_TOPDIFF_DILEPT_8TEV_TTRAPNORM	5	1.5986047910469554
ATLAS	ATLAS_1JET_8TEV_R06_DEC	171	0.8019372486246702
ATLAS	ATLAS_2JET_7TEV_R06	90	2.716295537935498
ATLAS	ATLASPHT15_SF	53	0.789385090234259
ATLAS	ATLAS_SINGLETOP_TCH_R_7TEV	1	0.5274769903731845
ATLAS	ATLAS_SINGLETOP_TCH_R_13TEV	1	0.06504307080224299
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_T_RAP_NORM	3	0.8465444529901774
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_TBAR_RAP_NORM	3	0.060177608282376845
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_T_RAP_NORM	3	0.26440828695903507
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_TBAR_RAP_NORM	3	0.20122307049725185
CMS	CMSWEASY840PB	11	0.8337790475165324
CMS	CMSWMASY47FB	11	1.7126247171903786
CMS	CMSDY2D11	110	1.3269077104869604
CMS	CMSWMU8TEV	22	1.220030469988004
CMS	CMSZDIFF12	28	1.4282934305474642
CMS	CMS_2JET_7TEV	54	1.788861427739747
CMS	CMS_1JET_8TEV	185	1.7787941557076776
CMS	CMSTTBARTOT7TEV	1	1.099914829092293
CMS	CMSTTBARTOT8TEV	1	0.2560337861884751
CMS	CMSTTBARTOT13TEV	1	0.06188682148856044
CMS	CMSTOPDIFF8TEVTTRAPNORM	9	1.2551411872791793
CMS	CMSTTBARTOT5TEV	1	0.5901074349734663
CMS	CMS_TTBAR_2D_DIFF_MTT_TRAP_NORM	16	1.0262256777398724
CMS	CMS_TTB_DIFF_13TEV_2016_2L_TRAP	10	0.5166466374613948
CMS	CMS_TTB_DIFF_13TEV_2016_LJ_TRAP	11	0.6233554728729264
CMS	CMS_SINGLETOP_TCH_TOT_7TEV	1	0.8051358744605029
CMS	CMS_SINGLETOP_TCH_R_8TEV	1	0.18811933262826744
CMS	CMS_SINGLETOP_TCH_R_13TEV	1	0.38089880989970254
LHCb	LHCBZ940PB	9	1.8183925320889753
LHCb	LHCBZEE2FB_40	17	1.3062255722443155
LHCb	LHCBWZMU7TEV	29	1.940697090298127
LHCb	LHCBWZMU8TEV	30	1.4053528338854568
LHCb	LHCB_Z_13TEV_DIMUON	16	1.0743167287815736
LHCb	LHCB_Z_13TEV_DIELECTRON	15	1.6299362349869762
