		NNPDF40_nnlo_as_01180_shift	NNPDF40_nnlo_as_01180_shift
		ndata	$\chi^2/ndata$
group	dataset		
DEUTERON	NMCPD_sh_ite	121	0.9071212006758457
DEUTERON	SLACP_dwsh	33	0.9179358518382351
DEUTERON	SLACD_sh_ite	34	0.7528609013251324
DEUTERON	BCDMSP_dwsh	333	1.4352624716256634
DEUTERON	BCDMSD_sh_ite	248	1.0194405178840937
DEUTERON	DYE886R_sh_ite	15	0.631548107337257
DEUTERON	DYE906R_sh_ite	6	0.4274196384894644
NMC	NMC	204	1.5222058147737432
NUCLEAR	CHORUSNUPb_sh_ite	416	1.0791096994260332
NUCLEAR	CHORUSNBPb_sh_ite	416	0.7971432686845346
NUCLEAR	NTVNUDMNFe_sh_ite	39	0.30700788017114417
NUCLEAR	NTVNBDMNFe_sh_ite	37	0.4756557194236794
NUCLEAR	DYE605_sh_ite	85	0.7907527552566147
HERACOMB	HERACOMBNCEM	159	1.4693590606067202
HERACOMB	HERACOMBNCEP460	204	1.1721065988388053
HERACOMB	HERACOMBNCEP575	254	0.9830163728917416
HERACOMB	HERACOMBNCEP820	70	1.1643934415011334
HERACOMB	HERACOMBNCEP920	377	1.3650498760737264
HERACOMB	HERACOMBCCEM	42	1.2723278157840372
HERACOMB	HERACOMBCCEP	39	1.227357416156126
HERACOMB	HERACOMB_SIGMARED_C	37	2.233658356039581
HERACOMB	HERACOMB_SIGMARED_B	26	2.3686573438156304
DYE886	DYE886P	89	1.1736021926059863
CDF	CDFZRAP_NEW	28	1.2675482971507714
D0	D0ZRAP_40	28	0.6420557101840075
D0	D0WMASY	9	2.351670467650913
ATLAS	ATLASWZRAP36PB	30	0.8830268861950362
ATLAS	ATLASZHIGHMASS49FB	5	1.8253622664606048
ATLAS	ATLASLOMASSDY11EXT	6	0.960463028630691
ATLAS	ATLASWZRAP11CC	46	1.8784888290719046
ATLAS	ATLASWZRAP11CF	15	1.188436494423848
ATLAS	ATLASDY2D8TEV	48	1.158367235838993
ATLAS	ATLAS_DY_2D_8TEV_LOWMASS	60	1.2427436411625499
ATLAS	ATLAS_WZ_TOT_13TEV	3	0.696389748023669
ATLAS	ATLAS_WP_JET_8TEV_PT	15	0.9442427194360969
ATLAS	ATLAS_WM_JET_8TEV_PT	15	2.3540834356564533
ATLAS	ATLASZPT8TEVMDIST	44	1.0155107325269521
ATLAS	ATLASZPT8TEVYDIST	48	1.034339045961805
ATLAS	ATLASTTBARTOT7TEV	1	5.063546549152315
ATLAS	ATLASTTBARTOT8TEV	1	0.01321602287286881
ATLAS	ATLAS_TTBARTOT_13TEV_FULLLUMI	1	0.4906098545844703
ATLAS	ATLAS_TTB_DIFF_8TEV_LJ_TRAPNORM	4	3.208382739404966
ATLAS	ATLAS_TTB_DIFF_8TEV_LJ_TTRAPNORM	4	3.909328530006156
ATLAS	ATLAS_TOPDIFF_DILEPT_8TEV_TTRAPNORM	5	1.6582991335582409
ATLAS	ATLAS_1JET_8TEV_R06_DEC	171	280.54843894633854
ATLAS	ATLAS_2JET_7TEV_R06	90	2.70887834536284
ATLAS	ATLASPHT15_SF	53	0.7768364274979797
ATLAS	ATLAS_SINGLETOP_TCH_R_7TEV	1	0.5582773367853072
ATLAS	ATLAS_SINGLETOP_TCH_R_13TEV	1	0.06946378777115891
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_T_RAP_NORM	3	0.8489396315320437
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_TBAR_RAP_NORM	3	0.06047216118318477
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_T_RAP_NORM	3	0.26143877106746133
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_TBAR_RAP_NORM	3	0.20028701797909995
CMS	CMSWEASY840PB	11	0.886111720776205
CMS	CMSWMASY47FB	11	1.7232816265412454
CMS	CMSDY2D11	110	1.3115787614411207
CMS	CMSWMU8TEV	22	1.2082087044209828
CMS	CMSZDIFF12	28	1.4291667697149215
CMS	CMS_2JET_7TEV	54	1.8050749214986253
CMS	CMS_1JET_8TEV	185	1.7797887443842384
CMS	CMSTTBARTOT7TEV	1	1.0197932264758112
CMS	CMSTTBARTOT8TEV	1	0.22132774427838584
CMS	CMSTTBARTOT13TEV	1	0.07290875848119445
CMS	CMSTOPDIFF8TEVTTRAPNORM	9	1.203314289970474
CMS	CMSTTBARTOT5TEV	1	0.5678466286325518
CMS	CMS_TTBAR_2D_DIFF_MTT_TRAP_NORM	16	1.0444422169240815
CMS	CMS_TTB_DIFF_13TEV_2016_2L_TRAP	10	0.5099185846781003
CMS	CMS_TTB_DIFF_13TEV_2016_LJ_TRAP	11	0.6256452172595993
CMS	CMS_SINGLETOP_TCH_TOT_7TEV	1	0.7958499990973522
CMS	CMS_SINGLETOP_TCH_R_8TEV	1	0.20127603112432751
CMS	CMS_SINGLETOP_TCH_R_13TEV	1	0.3900640785651381
LHCb	LHCBZ940PB	9	1.725487069741651
LHCb	LHCBZEE2FB_40	17	1.283535026180337
LHCb	LHCBWZMU7TEV	29	1.9598727873087427
LHCb	LHCBWZMU8TEV	30	1.4292204322914008
LHCb	LHCB_Z_13TEV_DIMUON	16	0.9957307983624181
LHCb	LHCB_Z_13TEV_DIELECTRON	15	1.5963694620094921
