group	dataset	id	data_central	theory_central	rep_00001	rep_00002	rep_00003	rep_00004	rep_00005	rep_00006	rep_00007	rep_00008	rep_00009	rep_00010	rep_00011	rep_00012	rep_00013	rep_00014	rep_00015	rep_00016	rep_00017	rep_00018	rep_00019	rep_00020	rep_00021	rep_00022	rep_00023	rep_00024	rep_00025	rep_00026	rep_00027	rep_00028	rep_00029	rep_00030	rep_00031	rep_00032	rep_00033	rep_00034	rep_00035	rep_00036	rep_00037	rep_00038	rep_00039	rep_00040	rep_00041	rep_00042	rep_00043	rep_00044	rep_00045	rep_00046	rep_00047	rep_00048	rep_00049	rep_00050	rep_00051	rep_00052	rep_00053	rep_00054	rep_00055	rep_00056	rep_00057	rep_00058	rep_00059	rep_00060	rep_00061	rep_00062	rep_00063	rep_00064	rep_00065	rep_00066	rep_00067	rep_00068	rep_00069	rep_00070	rep_00071	rep_00072	rep_00073	rep_00074	rep_00075	rep_00076	rep_00077	rep_00078	rep_00079	rep_00080	rep_00081	rep_00082	rep_00083	rep_00084	rep_00085	rep_00086	rep_00087	rep_00088	rep_00089	rep_00090	rep_00091	rep_00092	rep_00093	rep_00094	rep_00095	rep_00096	rep_00097	rep_00098	rep_00099	rep_00100
NUCLEAR	DYE605_dw	0	364.0	393.54614	398.94824	392.72833	378.43805	393.11102	390.8009	406.86594	383.99646	412.00372	382.86218	391.41772	395.2701	377.8337	399.30243	403.18805	389.44592	405.84393	362.40555	375.35797	374.50897	402.786	417.76425	396.62756	409.05353	388.60907	401.97723	393.31403	391.24915	404.67465	393.416	393.0583	409.20624	395.75684	398.13934	394.95264	418.5844	394.36456	406.787	407.85205	387.47028	366.58942	414.07657	396.7979	385.5728	380.98367	373.43323	414.10706	381.67334	391.3271	412.66275	389.6411	384.8932	398.35162	401.6453	396.83896	408.16727	405.23788	389.20117	380.33026	426.19916	404.114	406.9983	388.497	378.91772	361.27997	397.6911	406.787	399.11914	410.33463	399.4866	370.2117	375.4558	362.85507	387.82172	387.10767	386.50024	390.8806	405.74976	386.9026	372.5877	390.90274	408.819	406.30725	371.8077	382.08316	401.92545	399.44318	411.2431	374.71057	392.60065	393.24603	383.92273	406.01453	407.6343	390.14804	376.24603	391.46545	410.72385	399.6407	379.68225	379.0503
NUCLEAR	DYE605_dw	1	209.0	336.4423	341.82108	335.5786	322.04285	334.93695	333.01736	347.92783	327.6012	352.8028	326.4362	334.29382	337.4455	321.65497	341.9878	345.0069	331.62354	346.94006	308.50604	319.69116	318.9864	344.8471	358.12616	339.6567	348.41367	331.06714	343.22015	336.68713	333.67456	345.98755	338.06824	337.04614	351.71484	339.0489	341.31805	338.35883	359.25613	337.55118	348.05096	348.4346	331.8463	314.03296	353.49982	340.05594	328.1798	323.84686	318.9839	354.00635	326.84476	334.83487	354.6338	333.99896	328.84634	340.89423	345.06512	339.1951	350.80377	345.10217	330.3867	325.49298	364.92676	345.02325	347.734	331.26828	324.6746	307.0648	337.55234	348.05096	341.88608	351.91324	340.66187	316.69662	320.79486	309.30228	332.88257	329.84152	330.78583	335.4621	346.49228	329.72766	319.29028	333.427	349.861	348.3014	317.50955	327.109	343.6991	342.20435	352.24402	320.956	335.3015	334.87076	329.27698	346.09784	349.1538	334.11728	320.88397	335.6511	350.50864	343.20554	325.078	323.35907
NUCLEAR	DYE605_dw	2	220.0	288.39056	293.6959	287.4863	274.71393	286.16986	284.49033	298.17175	280.24295	302.90887	279.05103	286.17313	288.7283	274.59412	293.78326	296.07675	283.11722	297.33408	263.2403	273.00967	272.40494	296.086	307.89667	291.6948	297.5042	282.53424	293.75494	288.92493	285.49725	296.58447	291.4234	289.80054	303.1787	291.27515	293.42444	290.61823	309.16522	289.71997	298.54102	298.51404	285.01535	269.85745	302.43985	292.29977	279.98074	275.94754	273.16925	303.36752	280.6728	287.2143	305.59042	287.17645	281.77057	292.54703	297.34567	290.71606	302.33484	294.47916	281.0227	279.40753	313.21606	295.19617	297.86697	283.14175	278.93988	261.65088	287.16266	298.54102	293.66455	302.62653	291.20886	271.60608	274.76254	264.44183	286.58194	281.7409	283.91217	288.74173	296.68457	281.69565	274.49908	285.13385	300.18335	299.41998	271.8531	280.91437	294.65875	293.9886	302.47424	275.674	287.05145	285.89697	283.31113	295.70355	299.8285	286.8863	274.42773	288.68762	299.75122	295.662	279.1326	276.65228
NUCLEAR	DYE605_dw	3	243.0	248.48807	253.69415	247.54144	235.50984	245.8242	244.26138	256.71753	240.99278	261.4112	239.79022	246.1744	248.23515	235.6919	253.77641	255.4742	242.96599	256.09665	225.73206	234.38773	233.84242	255.59802	266.13074	251.83948	255.34659	242.15704	252.65366	249.17595	245.72629	255.52322	252.6344	250.46893	262.74017	251.5615	253.58936	250.87521	267.41733	249.9859	257.3652	257.11755	246.10815	233.20926	259.9737	252.63391	240.03749	236.314	235.13531	261.25385	242.29544	247.60443	264.6819	248.28781	242.74826	252.40555	257.635	250.48114	261.9084	252.43619	240.12526	241.19104	270.13318	253.73065	256.45703	243.1966	240.89265	224.11438	245.50433	257.3652	253.56682	261.57788	250.17984	234.10703	236.50505	227.36725	248.0758	241.88292	244.99011	249.87155	255.36763	241.86316	237.35997	245.09486	258.88364	258.77258	233.97139	242.59917	253.8922	253.9054	261.047	238.0346	246.94551	245.35535	245.15488	253.87273	258.76807	247.59085	235.96414	249.70041	257.528	256.1316	240.98929	238.0026
NUCLEAR	DYE605_dw	4	119.0	213.15875	218.2272	212.17429	200.88794	210.1908	208.69827	219.95505	206.31174	224.63953	205.10252	210.77684	212.3934	201.36224	218.33426	219.51791	207.50919	219.5727	192.59076	200.27295	199.76682	219.72685	229.11375	216.52661	218.19003	206.43063	216.26608	213.93646	210.63882	219.16345	218.22275	215.5722	226.82568	216.35194	218.24405	215.61673	230.34671	214.77388	220.8833	220.52303	211.64793	200.75104	222.35599	217.48407	204.74678	201.33195	201.45355	223.95676	208.27881	212.48785	228.32887	213.81259	208.22842	216.85382	222.36917	214.86111	225.99106	215.25998	204.02719	207.35437	231.935	217.00414	219.8065	207.8507	207.14572	190.99799	208.77585	220.8833	218.02371	225.15935	213.91165	200.86868	202.61716	194.62169	213.90479	206.67145	210.52124	215.38687	218.81091	206.63388	204.46317	209.675	222.30087	222.73837	200.46991	208.67581	217.79376	218.37532	224.29718	204.65851	211.42207	209.58	211.33798	216.86523	222.35767	212.75061	201.96562	215.14096	220.15768	221.06622	207.19205	203.84332
NUCLEAR	DYE605_dw	5	176.0	183.3293	188.24538	182.31241	171.73416	180.19867	178.72424	188.85583	177.09085	193.55179	175.88269	180.8854	182.12907	172.49776	188.40105	189.16348	177.6654	188.7156	164.68042	171.56259	171.07565	189.43018	197.81052	186.6831	186.90628	176.25848	185.54321	184.13603	181.14658	188.44846	189.10463	186.03497	196.39249	186.58626	188.33917	185.77983	198.9408	185.02203	190.04727	189.66388	182.53488	173.34663	190.58293	187.78094	175.02519	171.90814	173.02145	192.43965	179.52698	182.79407	197.49977	184.67184	179.11737	186.82977	192.50447	184.79623	195.53568	183.9049	173.65381	178.79616	199.6041	185.97008	188.86758	178.03462	178.60028	163.16183	177.91873	190.04727	187.97025	194.32724	183.33568	172.7665	173.98758	167.07448	184.98645	177.01086	181.41083	186.2048	187.97427	176.93341	176.69096	179.81308	191.38474	192.26718	172.20853	180.03934	187.29681	188.33914	193.2049	176.43951	181.41629	179.4773	182.76482	185.65303	191.5564	183.28293	173.33154	185.94148	188.58893	191.3985	178.64536	175.0791
NUCLEAR	DYE605_dw	6	174.0	157.77435	162.49423	156.71883	146.86777	154.59558	153.10022	162.1578	152.16673	166.88	150.96747	155.3182	156.23032	147.92407	162.72104	163.15361	152.22255	162.25223	140.86981	147.07373	146.57988	163.44672	170.93974	161.07645	160.26611	150.47003	159.23288	158.54749	156.04118	162.11488	164.08528	160.63062	170.17645	161.02441	162.61871	160.12366	171.89713	159.49518	163.60832	163.27377	157.60141	149.85333	163.35992	162.28757	149.66444	146.82568	148.6561	165.41496	154.86345	157.30606	170.90338	159.64764	154.20767	161.09476	166.78214	159.04031	169.27094	157.11815	147.7761	154.33273	171.81602	159.37218	162.37363	152.52975	154.08105	139.45786	151.677	163.60832	162.16284	167.81113	157.22101	148.64075	149.43915	143.57965	160.11508	151.71164	156.45149	161.11618	161.58374	151.532	152.89041	154.2645	164.88164	166.11485	148.04645	155.50203	161.15991	162.54143	166.4919	152.20619	155.6919	153.84396	158.24677	158.95413	165.0914	157.97662	148.87366	160.88324	161.55133	165.8894	154.16278	150.51427
NUCLEAR	DYE605_dw	7	140.0	136.09206	140.58554	135.0075	125.85155	132.91557	131.4014	139.52156	131.0961	144.23372	129.90851	133.68896	134.30461	127.152824	140.87103	141.05487	130.7113	139.79897	120.74053	126.34102	125.83554	141.35866	148.10489	139.32147	137.82149	128.69868	136.939	136.81726	134.79114	139.77382	142.77966	139.014	147.82779	139.28409	140.71361	138.29587	148.88156	137.79521	141.17387	140.9094	136.45279	129.88022	140.29698	140.60873	128.23143	125.63837	127.96875	142.49738	133.91566	135.64587	148.22122	138.34651	133.06996	139.23389	144.8327	137.17538	146.88411	134.48642	125.9541	133.54413	148.21814	136.84755	139.91034	130.93112	133.22623	119.43143	129.55627	141.17387	140.22755	145.25829	135.1369	128.14609	128.61304	123.665794	138.92232	130.33336	135.2512	139.76422	139.20523	130.01532	132.64285	132.59824	142.39182	143.8848	127.58664	134.64966	138.99428	140.59872	143.77669	131.59227	133.87584	132.21297	137.38588	136.35143	142.59637	136.46931	128.14734	139.55008	138.66531	144.15738	133.34773	129.68971
NUCLEAR	DYE605_dw	8	105.0	117.082634	121.34333	115.97238	107.49097	113.96643	112.416916	119.65726	112.67658	124.34803	111.51182	114.74356	115.09834	109.03816	121.69252	121.67938	111.93062	120.09905	103.163025	108.23747	107.71024	121.980415	128.03452	120.21753	118.18956	109.64807	117.40529	117.74067	116.24393	120.173996	124.039185	119.997635	128.1377	120.1909	121.45241	119.10738	128.6175	118.74814	121.488945	121.32247	117.89878	112.35204	120.096405	121.566826	109.51139	107.15492	109.84104	122.3907	115.52901	116.62735	128.22108	119.62871	114.55523	120.05636	125.5062	118.00931	127.1476	114.69983	106.9267	115.313255	127.46954	117.105705	120.22232	112.02917	114.903786	101.967964	110.29329	121.488945	120.95577	125.41722	115.8255	110.14685	110.34447	106.273926	120.276764	111.65675	116.64894	120.983765	119.604324	111.18577	114.878654	113.63664	122.654236	124.35893	109.66896	116.35553	119.55199	121.32224	123.822	113.4869	114.749054	113.33444	119.06298	116.577255	122.831314	117.57344	110.02736	120.8182	118.60575	125.03794	115.082535	111.48283
NUCLEAR	DYE605_dw	9	123.0	100.65647	104.6734	99.521866	91.69342	97.63495	96.048035	102.491135	96.82469	107.14531	95.687836	98.41678	98.536674	93.46944	105.081314	104.924194	95.77572	103.06804	88.045166	92.649124	92.09375	105.211876	110.64845	103.67789	101.30374	93.25879	100.54628	101.23722	100.27899	103.23248	107.783936	103.50427	111.02862	103.65347	104.742	102.47612	111.02518	102.26006	104.47455	104.42041	101.86564	97.17728	102.669205	105.071526	93.40875	91.26538	94.1756	105.01511	99.62123	100.1669	110.82779	103.3993	98.56229	103.4691	108.71002	101.44448	109.99014	97.67547	90.59534	99.541016	109.502	100.07333	103.21938	95.72937	99.03296	86.95918	93.77595	104.47455	104.263664	108.21294	99.20061	94.5656	94.551254	91.2869	104.09123	95.58841	100.55528	104.693886	102.678566	94.9444	99.49749	97.270966	105.59045	107.45463	94.21391	100.52282	102.75477	104.622604	106.54155	97.8019	98.22471	97.11684	103.183685	99.53349	105.71475	101.21147	94.40462	104.586136	101.30646	108.443115	99.27226	95.780975
