group	dataset	id	data_central	theory_central	rep_00001	rep_00002	rep_00003	rep_00004	rep_00005	rep_00006	rep_00007	rep_00008	rep_00009	rep_00010	rep_00011	rep_00012	rep_00013	rep_00014	rep_00015	rep_00016	rep_00017	rep_00018	rep_00019	rep_00020	rep_00021	rep_00022	rep_00023	rep_00024	rep_00025	rep_00026	rep_00027	rep_00028	rep_00029	rep_00030	rep_00031	rep_00032	rep_00033	rep_00034	rep_00035	rep_00036	rep_00037	rep_00038	rep_00039	rep_00040	rep_00041	rep_00042	rep_00043	rep_00044	rep_00045	rep_00046	rep_00047	rep_00048	rep_00049	rep_00050	rep_00051	rep_00052	rep_00053	rep_00054	rep_00055	rep_00056	rep_00057	rep_00058	rep_00059	rep_00060	rep_00061	rep_00062	rep_00063	rep_00064	rep_00065	rep_00066	rep_00067	rep_00068	rep_00069	rep_00070	rep_00071	rep_00072	rep_00073	rep_00074	rep_00075	rep_00076	rep_00077	rep_00078	rep_00079	rep_00080	rep_00081	rep_00082	rep_00083	rep_00084	rep_00085	rep_00086	rep_00087	rep_00088	rep_00089	rep_00090	rep_00091	rep_00092	rep_00093	rep_00094	rep_00095	rep_00096	rep_00097	rep_00098	rep_00099	rep_00100
NUCLEAR	NTVNUDMNFe_dw_ite	0	13.84518875834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NUCLEAR	NTVNUDMNFe_dw_ite	1	16.37747669877	13.785347	14.058624	14.522044	13.383999	12.073725	13.0961895	13.336586	15.629488	11.877768	14.173912	15.067888	12.720247	14.718239	16.141407	11.213053	14.655169	13.190561	12.571283	12.122011	12.884968	16.206123	11.69886	11.9815235	15.114101	11.977047	12.281599	16.317642	12.919098	12.4501	14.165178	14.3955765	14.710596	11.731253	12.499289	15.062602	13.834774	15.127481	11.841585	12.170149	13.9049225	16.734385	12.672134	17.573177	13.794775	11.47908	15.44534	14.773733	15.076675	14.736851	13.305641	14.181416	13.574566	14.243307	12.358179	15.629087	14.203342	12.899858	18.385279	13.518223	12.819281	11.816494	14.426838	14.554699	15.347797	15.532316	14.650412	11.841585	14.73123	12.322388	13.118952	12.801708	14.669004	14.583088	15.762692	14.231449	11.1650505	14.064079	14.733469	14.542007	12.120861	12.430035	13.35784	12.453012	13.038235	13.806963	13.248396	16.144121	12.856882	16.277418	13.32971	12.277277	14.798385	12.998144	13.851324	13.855249	12.212427	12.739975	13.144987	15.559771	15.701968	12.205351
NUCLEAR	NTVNUDMNFe_dw_ite	2	12.70772238514	13.992901	13.706924	14.368843	13.952084	13.340958	12.565079	13.842731	15.746304	12.767048	14.257111	15.135273	13.692738	13.983002	15.605122	10.872837	15.001228	13.707176	13.214836	13.363102	12.506332	15.130844	11.77412	11.34877	14.169529	14.779167	12.704006	16.76437	12.83569	13.17215	14.347748	15.62706	13.512047	11.422962	12.749104	14.014301	14.527111	14.358795	13.817062	13.415661	12.998962	16.47823	12.2623825	16.011662	13.900524	12.880302	14.29842	15.838856	14.462463	15.933895	13.744289	14.370735	13.170914	14.976322	13.325546	15.064396	14.942421	13.704071	18.161793	13.468788	12.080837	12.524418	14.3816185	16.148281	15.333195	15.279724	13.967941	13.817062	14.470005	13.519142	13.790047	12.73605	14.680962	14.844803	15.483906	14.851402	12.022846	13.540943	15.8938675	14.472507	12.43985	11.970119	13.808212	12.825283	13.34856	13.881062	14.126556	16.776623	15.104469	15.435944	12.862061	12.649963	15.726395	14.892139	14.810413	13.675034	13.101227	12.348827	12.938114	14.836205	14.407349	11.391697
NUCLEAR	NTVNUDMNFe_dw_ite	3	9.792092884995	12.074089	11.164902	12.497545	12.826089	12.971058	10.60259	12.352176	13.076241	12.040128	12.392396	13.208383	11.916258	11.303678	12.47033	10.064995	12.838112	12.295939	11.530529	11.867515	10.219977	12.494194	11.533514	9.733005	10.244616	14.800439	10.974576	13.305648	11.457179	11.1639385	12.334594	13.967092	10.439271	9.477186	11.035029	10.9295025	13.589244	11.2363615	13.154123	11.407892	11.1489315	13.650816	9.3708725	12.667179	11.672687	12.487227	11.710737	12.651905	12.015233	13.8130865	11.95718	12.270982	11.364433	13.386816	12.071819	12.4434395	14.184129	12.920852	15.728373	12.201318	10.770926	11.042045	12.887713	14.726491	12.933149	12.668519	11.678111	13.154123	12.075503	12.310644	12.033648	10.637005	13.070729	12.211816	12.860682	12.959093	11.052631	10.939377	13.905664	12.013487	11.0179205	10.0366535	11.580018	11.039979	12.068698	12.307971	12.640993	14.121303	12.771872	12.174971	11.033769	11.48126	13.987467	13.190859	13.23279	11.373007	12.67612	9.948457	11.143088	11.792271	12.134746	9.088911
NUCLEAR	NTVNUDMNFe_dw_ite	4	4.171932282586	5.8560925	5.1473083	6.47009	4.810485	7.6304436	5.956032	5.4986534	6.6064587	5.1950436	5.340314	5.589053	5.896781	4.9529886	5.7362757	5.9305696	6.2295446	6.4713955	5.452071	6.2160177	5.624421	6.3531733	5.1604357	5.955432	5.6968803	7.3595324	5.451647	6.3085804	5.749284	5.134078	5.851717	5.370842	5.5135	5.1899347	5.1223307	5.310503	6.2860518	5.779196	5.937434	6.4330463	5.0476522	7.1927013	4.4020033	6.122469	6.3204165	7.17334	6.151799	6.0233603	5.427061	6.165718	5.070178	6.5345354	6.064603	5.510441	4.423972	5.946376	8.206049	7.280222	7.6542416	5.5248175	6.0104227	5.5878553	6.7980986	6.0506506	5.6796055	5.792858	5.5528994	5.937434	5.5476274	5.2021303	6.4547625	4.810708	6.4763947	5.9132395	6.2384434	5.806591	6.194206	5.4695835	5.244603	6.071828	5.7384653	5.3622246	5.0826654	5.586176	5.2258644	6.476965	5.025402	6.0442686	6.65827	5.3072386	6.4113445	6.1016083	6.69901	4.8138094	6.179782	5.363145	6.265976	4.946678	5.0568056	6.636998	5.8335047	4.993619
NUCLEAR	NTVNUDMNFe_dw_ite	5	15.43148037711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NUCLEAR	NTVNUDMNFe_dw_ite	6	15.65819456307	15.293057	15.637936	15.612344	15.313908	13.350141	14.7962	15.018884	16.74269	13.845924	15.197241	16.989185	14.375915	16.08966	17.219597	13.128691	16.215765	14.71611	14.190929	13.030534	14.511021	17.765524	14.1407995	14.049687	16.698524	13.087811	13.655876	17.012959	14.587834	13.870028	15.832512	15.431459	16.320023	13.433125	13.91882	16.284061	15.640585	16.642872	13.656295	13.708849	15.760561	17.338905	13.824591	19.23611	15.278787	12.999372	16.476627	15.6335125	16.51345	15.795877	14.537338	15.458781	15.319441	15.815029	14.509933	17.42645	15.938198	14.823611	19.963531	15.0386715	14.352779	13.639972	16.024935	15.842866	16.689693	17.034735	15.699716	13.656295	16.50367	13.751578	14.769599	14.749384	16.199436	15.955671	17.097736	15.524255	12.595438	15.853626	16.017746	15.914363	13.810936	14.214636	14.861272	13.985361	14.812073	15.509336	14.670519	17.477571	13.552259	17.526484	15.3206	14.1655	16.049053	14.387526	15.142237	15.449253	13.676624	14.436868	15.182494	16.99604	16.832453	13.963988
NUCLEAR	NTVNUDMNFe_dw_ite	7	15.27845575803	14.307927	14.274355	14.449472	14.321423	13.351511	13.183083	14.20766	15.567623	13.230881	14.281456	15.5874815	13.944771	14.255007	15.774607	11.370981	15.435733	14.10161	13.5825615	13.229263	13.0871105	15.644848	12.504608	12.101196	14.753504	14.186071	13.202435	16.923462	13.317841	13.442928	14.763525	15.549156	14.081533	12.022779	13.092247	14.368744	14.91962	14.975755	13.731907	13.687046	13.548426	16.397823	12.623976	16.7151	14.190962	13.107412	14.633781	15.911604	14.894109	16.003807	13.860718	14.679508	13.676962	15.121239	13.839512	15.716644	15.227402	14.128815	18.65864	13.692858	12.432316	12.936594	14.7313385	16.154882	15.5543995	15.671875	14.314827	13.731907	14.82349	13.624598	14.110867	13.069906	14.853943	15.233923	15.835715	15.042872	12.3158245	14.07255	15.792471	14.843155	13.003256	12.568834	13.98494	13.146145	13.661562	14.339069	14.215681	16.718563	15.002055	15.746973	13.637007	13.257275	15.75285	14.878967	14.7683115	13.942244	13.2168865	12.958925	13.458668	15.385511	14.84363	12.022936
NUCLEAR	NTVNUDMNFe_dw_ite	8	9.727416723071	11.887555	11.100855	12.108893	12.551553	12.4249935	10.440732	12.067222	12.80382	11.773558	11.995924	12.989584	11.8069935	11.08091	12.295958	9.671959	12.685211	12.07653	11.449889	11.537634	10.16021	12.319926	11.131815	9.568432	10.463905	14.225585	10.858871	13.413172	11.244458	11.158062	12.25486	13.672102	10.450877	9.426472	10.810318	10.817108	13.139681	11.292713	12.588251	11.460384	10.9396715	13.541746	9.459733	12.574366	11.598812	12.135806	11.441199	12.812487	11.8290825	13.679317	11.720552	12.1345215	11.051947	13.045691	11.853331	12.400649	13.725824	12.630102	15.4496355	11.744019	10.517824	10.964661	12.536293	14.398012	12.845734	12.595286	11.53775	12.588251	11.957855	11.9657955	11.938648	10.679707	12.764125	12.152265	12.716373	12.780499	10.872909	10.99474	13.648001	11.917997	10.859076	9.988336	11.644934	10.899778	11.782436	12.022736	12.40517	14.011014	12.775324	12.078065	10.924875	11.336004	13.598857	13.137563	12.937494	11.19746	12.122373	10.029581	10.835944	11.785719	11.951876	8.969719
NUCLEAR	NTVNUDMNFe_dw_ite	9	4.305182568593	5.4733424	4.7786183	5.931445	4.7193813	6.896635	5.517699	5.1643534	6.0686455	4.985995	4.946398	5.3518553	5.489032	4.709018	5.136396	5.3591747	5.6806183	5.93432	5.1631336	5.6340146	5.2365522	5.9385233	4.98582	5.2446327	5.1990347	6.644827	5.1311226	5.92861	5.331476	4.8859315	5.653345	5.2442617	5.1655216	4.683262	4.787779	4.8438177	6.126343	5.369963	5.44217	5.830829	5.081213	6.9020925	4.0924797	5.571801	5.786151	6.3892846	5.5702567	5.679387	5.228441	5.9649057	4.8456597	6.2287936	5.4502554	5.0775337	4.372588	5.6527925	7.579019	6.7912936	7.0506673	5.18561	5.6348906	5.153471	6.238822	5.8797874	5.4320335	5.3984613	4.847497	5.44217	5.1162033	4.9577026	6.012237	4.590666	6.1527967	5.548007	6.0392747	5.2210712	5.7446766	5.285426	4.996273	5.655467	5.3161325	4.92729	4.8240232	5.2983103	4.9599733	6.143605	4.7592916	5.765358	6.366667	5.041193	5.9236517	5.8603287	6.529195	4.55153	5.7630835	4.995136	5.706193	4.8457503	4.700575	6.1162305	5.4853106	4.46772
